Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,353,66,2025-03-12,OKC,@,BOS,W 118-112,1,38:58,5,12,0.417,3,8,0.375,2,4,0.500,0.542,0,2,0.000,1,3,4,0,0,0,1,1,13,6.0,1
62,354,67,2025-03-15,OKC,@,DET,W 113-107,1,26:48,3,6,0.500,1,4,0.250,2,2,1.000,0.583,0,0,,2,5,7,1,0,1,3,2,7,4.5,27
62,,68,2025-03-16,OKC,@,MIL,W 121-105,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
62,,69,2025-03-19,OKC,,PHI,W 133-100,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
62,,70,2025-03-21,OKC,,CHO,W 141-106,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
63,355,71,2025-03-23,OKC,@,LAC,W 103-101,1,28:37,4,6,0.667,2,4,0.500,2,2,1.000,0.833,0,0,,0,4,4,2,1,1,0,5,10,9.7,4
64,356,72,2025-03-25,OKC,@,SAC,W 121-105,1,31:33,5,9,0.556,3,6,0.500,2,3,0.667,0.722,0,0,,1,3,4,1,1,1,1,4,13,10.1,12
65,357,73,2025-03-27,OKC,,MEM,W 125-104,1,29:07,3,8,0.375,3,7,0.429,0,1,0.000,0.563,0,0,,1,0,1,5,3,0,0,2,9,11.0,27
66,358,74,2025-03-29,OKC,,IND,W 132-111,1,33:04,8,11,0.727,6,7,0.857,2,4,0.500,1.000,0,0,,0,5,5,0,2,1,1,0,22,20.7,17
67,359,75,2025-03-31,OKC,,CHI,W 145-117,1,25:52,4,7,0.571,3,5,0.600,1,2,0.500,0.786,0,0,,0,3,3,0,1,0,0,3,11,8.4,25
68,360,76,2025-04-02,OKC,,DET,W 119-103,1,33:23,5,11,0.455,4,9,0.444,1,2,0.500,0.636,0,0,,1,6,7,1,1,0,2,2,14,9.7,18
69,361,77,2025-04-04,OKC,@,HOU,L 111-125,1,26:19,1,6,0.167,0,4,0.000,1,2,0.500,0.167,0,0,,0,4,4,3,0,0,3,4,2,-3.1,-6
70,362,78,2025-04-06,OKC,,LAL,L 99-126,1,27:24,3,8,0.375,3,7,0.429,0,1,0.000,0.563,0,0,,0,2,2,1,0,0,0,3,9,4.7,-16
71,363,79,2025-04-08,OKC,,LAL,W 136-120,1,30:52,6,11,0.545,5,8,0.625,1,3,0.333,0.773,0,2,0.000,1,2,3,2,2,0,0,3,17,14.4,8
71,,80,2025-04-09,OKC,@,PHO,W 125-112,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
71,,81,2025-04-11,OKC,@,UTA,W 145-111,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,,82,2025-04-13,OKC,@,NOP,W 115-100,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,17,1,2025-04-20,OKC,,MEM,W 131-80,1,21:41,4,8,0.500,4,8,0.500,0,0,,0.750,0,0,,1,2,3,2,3,1,1,0,12,13.4,22
