season,team,espn_team_id,date,opponent,result,team_score,opp_score,is_win
2026,Arizona,12,"Wed, Feb 18",BYU,W 75-68,75,68,True
2026,Arizona,12,"Sat, Feb 21",Houston,W 73-66,73,66,True
2026,Arizona,12,"Tue, Feb 24",Baylor,W 87-80,87,80,True
2026,Arizona,12,"Sat, Feb 28",Kansas,W 84-61,84,61,True
2026,Arizona,12,"Mon, Mar 2",Iowa St,W 73-57,73,57,True
2026,Arizona,12,"Sat, Mar 7",Colorado,W 89-79,89,79,True
2026,Arizona,12,"Thu, Mar 12",UCF,W 81-59,81,59,True
2026,Arizona,12,"Fri, Mar 13",Iowa St,W 82-80,82,80,True
2026,Arizona,12,"Sat, Mar 14",Houston,W 79-74,79,74,True
2026,Florida,57,"Mon, Nov 3",Arizona,L 93-87,93,87,False
2026,Florida,57,"Thu, Nov 6",North Florida,W 104-64,104,64,True
2026,Florida,57,"Tue, Nov 11",Florida St,W 78-76,78,76,True
2026,Florida,57,"Sun, Nov 16",Miami FL,W 82-68,82,68,True
2026,Florida,57,"Fri, Nov 21",Merrimack,W 80-45,80,45,True
2026,Florida,57,"Thu, Nov 27",TCU,L 84-80,84,80,False
2026,Florida,57,"Fri, Nov 28",Providence,W 90-78,90,78,True
2026,Florida,57,"Tue, Dec 2",Duke,L 67-66,67,66,False
2026,Florida,57,"Tue, Dec 9",Connecticut,L 77-73,77,73,False
2026,Florida,57,"Sat, Dec 13",G Washington,W 80-70,80,70,True
2026,Florida,57,"Wed, Dec 17",Saint Francis,W 102-61,102,61,True
2026,Florida,57,"Sun, Dec 21",Colgate,W 90-60,90,60,True
2026,Florida,57,"Mon, Dec 29",Dartmouth,W 94-72,94,72,True
2026,Florida,57,"Sat, Jan 3",Missouri,L 76-74,76,74,False
2026,Florida,57,"Tue, Jan 6",Georgia,W 92-77,92,77,True
2026,Florida,57,"Sat, Jan 10",Tennessee,W 91-67,91,67,True
2026,Florida,57,"Tue, Jan 13",Oklahoma,W 96-79,96,79,True
2026,Florida,57,"Sat, Jan 17",Vanderbilt,W 98-94,98,94,True
2026,Florida,57,"Tue, Jan 20",LSU,W 79-61,79,61,True
