team,year,advanced_stats_source,has_sofascore_advanced,advanced_any_imputed,raw_last12mo_avg_possession,raw_last12mo_pass_completion_pct,raw_last12mo_set_piece_success_rate,raw_last12mo_shots_on_target_pct,last12mo_avg_possession,last12mo_pass_completion_pct,last12mo_set_piece_success_rate,last12mo_shots_on_target_pct,advanced_imputed_last12mo_avg_possession,advanced_imputed_last12mo_pass_completion_pct,advanced_imputed_last12mo_set_piece_success_rate,advanced_imputed_last12mo_shots_on_target_pct,pre_wc_elo,pre_wc_fifa_rank,fifa_rank_score,last12mo_win_pct,last12mo_avg_opponent_elo,last12mo_goals_for_per_match,last12mo_goals_against_per_match,last12mo_goal_diff_per_match,last12mo_matches_played,days_since_last_match,conf_UEFA,conf_CONMEBOL,conf_CONCACAF,conf_CAF,conf_AFC,conf_OFC,host_confederation_match,prior_wc_titles,prior_wc_finals,prior_wc_semifinals,prior_wc_appearances,is_defending_champion,is_host
South Korea,2026,2026.0,True,False,69.833333333333,87.333333333333,62.5,37.11340206185567,69.833333333333,87.333333333333,62.5,37.11340206185567,False,False,False,False,,23.0,0.043478260869565216,0.5,1711.75,1.125,1.5,-0.375,8.0,72.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
Ecuador,2026,2026.0,True,False,52.388888888889,84.32033173513,10.526315789473683,36.458333333333336,52.388888888889,84.32033173513,10.526315789473683,36.458333333333336,False,False,False,False,1933.0,24.0,0.041666666666666664,0.25,1797.375,0.875,0.5,0.375,8.0,72.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Australia,2026,2026.0,True,False,53.6,82.010385756677,33.333333333333336,25.75757575757576,53.6,82.010385756677,33.333333333333336,25.75757575757576,False,False,False,False,1774.0,25.0,0.04,0.625,1629.75,1.5,1.0,0.5,8.0,72.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Turkey,2026,2026.0,True,False,54.75,85.026874840031,25.0,35.23809523809524,54.75,85.026874840031,25.0,35.23809523809524,False,False,False,False,1880.0,26.0,0.038461538461538464,0.75,1736.125,2.375,1.5,0.875,8.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Sweden,2026,2026.0,True,False,50.375,82.663043478261,50.0,32.89473684210526,50.375,82.663043478261,50.0,32.89473684210526,False,False,False,False,1660.0,29.0,0.034482758620689655,0.25,1716.0,1.25,1.875,-0.625,8.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,0.0,0.0
Canada,2026,2026.0,True,False,57.5,81.799729364005,50.0,37.77777777777778,57.5,81.799729364005,50.0,37.77777777777778,False,False,False,False,1802.0,31.0,0.03225806451612903,0.4166666666666667,1663.8333333333333,1.5,0.4166666666666667,1.0833333333333333,12.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0
Norway,2026,2026.0,True,False,57.5,89.504170528267,33.333333333333336,39.354838709677416,57.5,89.504170528267,33.333333333333336,39.354838709677416,False,False,False,False,1922.0,33.0,0.030303030303030304,0.625,,3.375,0.75,2.625,8.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Egypt,2026,2026.0,True,False,57.25,86.410788381743,50.0,28.985507246376812,57.25,86.410788381743,50.0,28.985507246376812,False,False,False,False,1591.0,34.0,0.029411764705882353,0.4444444444444444,1501.2222222222222,1.2222222222222223,0.7222222222222222,0.5,18.0,72.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Algeria,2026,2026.0,True,False,68.333333333333,85.656565656566,0.0,27.659574468085108,68.333333333333,85.656565656566,0.0,27.659574468085108,False,False,False,False,1726.0,35.0,0.02857142857142857,0.7058823529411765,1453.4117647058824,2.1176470588235294,0.47058823529411764,1.6470588235294117,17.0,72.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Scotland,2026,2026.0,True,True,44.666666666667,83.442892358258,,43.28358208955224,44.666666666667,83.442892358258,-1.0,43.28358208955224,False,False,True,False,1790.0,36.0,0.027777777777777776,0.5,1720.75,1.625,1.125,0.5,8.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
