team,year,pre_wc_elo,pre_wc_fifa_rank,fifa_rank_score,last12mo_win_pct,last12mo_goals_for_per_match,last12mo_goals_against_per_match,last12mo_goal_diff_per_match,last12mo_matches_played,days_since_last_match,prior_wc_titles,prior_wc_finals,prior_wc_semifinals,prior_wc_appearances,is_defending_champion,last12mo_avg_possession,last12mo_pass_completion_pct,last12mo_set_piece_success_rate,last12mo_shots_on_target_pct,advanced_stats_source,conf_UEFA,conf_CONMEBOL,conf_CONCACAF,conf_CAF,conf_AFC,conf_OFC,label
United States,1930,2050.0,,0.05263157894736842,0.5,1.6363636363636365,1.0,0.6666666666666666,0.0,12.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Uruguay,1930,2050.0,,0.05263157894736842,0.3333333333333333,1.1666666666666667,1.3333333333333333,-0.16666666666666666,6.0,49.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,1
Yugoslavia,1930,2050.0,,0.05263157894736842,0.3333333333333333,2.5,2.0,0.5,6.0,28.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Argentina,1934,2050.0,,0.05263157894736842,1.0,1.0,0.0,1.0,1.0,164.0,0.0,1.0,1.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Austria,1934,2050.0,,0.05263157894736842,0.6666666666666666,3.3333333333333335,1.6666666666666667,1.6666666666666667,9.0,32.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Belgium,1934,2050.0,,0.05263157894736842,0.125,2.0,4.25,-2.25,8.0,28.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Brazil,1934,2050.0,,0.05263157894736842,0.5,1.6363636363636365,1.0,0.6666666666666666,0.0,12.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Czechoslovakia,1934,2050.0,,0.05263157894736842,0.5714285714285714,2.2857142857142856,1.4285714285714286,0.8571428571428571,7.0,11.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Egypt,1934,2050.0,,0.05263157894736842,1.0,5.5,1.0,4.5,2.0,51.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
France,1934,2050.0,,0.05263157894736842,0.42857142857142855,2.2857142857142856,2.5714285714285716,-0.2857142857142857,7.0,17.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Germany,1934,2050.0,,0.05263157894736842,0.8333333333333334,4.166666666666667,0.8333333333333334,3.3333333333333335,6.0,77.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Hungary,1934,2050.0,,0.05263157894736842,0.4,2.2,2.1,0.1,10.0,17.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Italy,1934,2050.0,,0.05263157894736842,0.75,3.0,1.5,1.5,4.0,63.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,1
Netherlands,1934,2050.0,,0.05263157894736842,0.6,4.4,2.6,1.8,5.0,17.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Romania,1934,2050.0,,0.05263157894736842,0.75,4.0,0.75,3.25,4.0,28.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Spain,1934,2050.0,,0.05263157894736842,1.0,4.333333333333333,0.3333333333333333,4.0,3.0,70.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Sweden,1934,2050.0,,0.05263157894736842,0.75,2.875,1.25,1.625,8.0,4.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Switzerland,1934,2050.0,,0.05263157894736842,0.14285714285714285,1.2857142857142858,2.4285714285714284,-1.1428571428571428,7.0,63.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
United States,1934,2050.0,,0.05263157894736842,1.0,4.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Belgium,1938,2050.0,,0.05263157894736842,0.2222222222222222,1.8888888888888888,2.888888888888889,-1.0,9.0,6.0,0.0,0.0,0.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Brazil,1938,2050.0,,0.05263157894736842,0.5,1.6363636363636365,1.0,0.6666666666666666,0.0,12.0,0.0,0.0,0.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,1
Cuba,1938,2050.0,,0.05263157894736842,0.0,0.0,4.0,-4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Czechoslovakia,1938,2050.0,,0.05263157894736842,0.45454545454545453,2.6363636363636362,2.8181818181818183,-0.18181818181818182,11.0,17.0,0.0,1.0,1.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
France,1938,2050.0,,0.05263157894736842,0.6666666666666666,3.0,1.8333333333333333,1.1666666666666667,6.0,9.0,0.0,0.0,0.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Germany,1938,2050.0,,0.05263157894736842,0.6,2.5,1.2,1.3,10.0,21.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Hungary,1938,2050.0,,0.05263157894736842,0.7142857142857143,4.285714285714286,1.4285714285714286,2.857142857142857,7.0,71.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Indonesia,1938,2050.0,,0.05263157894736842,0.5,1.6363636363636365,1.0,0.6666666666666666,0.0,12.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Italy,1938,2050.0,,0.05263157894736842,0.5,3.0,0.75,2.25,4.0,13.0,1.0,1.0,1.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Netherlands,1938,2050.0,,0.05263157894736842,0.4,3.0,1.8,1.2,5.0,14.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Norway,1938,2050.0,,0.05263157894736842,0.5,1.75,2.25,-0.5,8.0,4.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Poland,1938,2050.0,,0.05263157894736842,0.5555555555555556,2.888888888888889,1.5555555555555556,1.3333333333333333,9.0,13.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Romania,1938,2050.0,,0.05263157894736842,0.4,1.8,1.6,0.2,5.0,27.0,0.0,0.0,0.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Sweden,1938,2050.0,,0.05263157894736842,0.2857142857142857,2.4285714285714284,2.4285714285714284,0.0,7.0,195.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Switzerland,1938,2050.0,,0.05263157894736842,0.3,1.8,1.9,-0.1,10.0,14.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Bolivia,1950,2050.0,,0.05263157894736842,0.5,1.0,2.5,-1.5,2.0,104.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Brazil,1950,2050.0,,0.05263157894736842,0.5,2.75,2.25,0.5,4.0,41.0,1.0,1.0,1.0,3.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Chile,1950,2050.0,,0.05263157894736842,0.5,2.0,2.0,0.0,4.0,76.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
England,1950,2050.0,,0.05263157894736842,0.8571428571428571,3.5714285714285716,1.2857142857142858,2.2857142857142856,7.0,37.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Italy,1950,2050.0,,0.05263157894736842,0.3333333333333333,1.0,1.3333333333333333,-0.3333333333333333,3.0,83.0,1.0,1.0,1.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Mexico,1950,2050.0,,0.05263157894736842,1.0,4.25,0.5,3.75,4.0,272.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Paraguay,1950,2050.0,,0.05263157894736842,0.2,1.6,2.6,-1.0,5.0,42.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Spain,1950,2050.0,,0.05263157894736842,0.5,3.5,1.5,2.0,2.0,76.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Sweden,1950,2050.0,,0.05263157894736842,0.5,3.3333333333333335,2.3333333333333335,1.0,6.0,16.0,0.0,1.0,1.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Switzerland,1950,2050.0,,0.05263157894736842,0.3333333333333333,2.0,2.8333333333333335,-0.8333333333333334,6.0,13.0,0.0,0.0,0.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
United States,1950,2050.0,,0.05263157894736842,0.25,2.0,3.75,-1.75,4.0,276.0,0.0,0.0,0.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Uruguay,1950,2050.0,,0.05263157894736842,0.4,2.8,2.4,0.4,5.0,41.0,1.0,1.0,1.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,1
Yugoslavia,1950,2050.0,,0.05263157894736842,0.625,3.375,1.5,1.875,8.0,13.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Austria,1954,2050.0,,0.05263157894736842,0.5,3.0,0.8333333333333334,2.1666666666666665,6.0,17.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Belgium,1954,2050.0,,0.05263157894736842,0.375,1.875,1.0,0.875,8.0,17.0,0.0,0.0,0.0,3.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Brazil,1954,2050.0,,0.05263157894736842,1.0,2.0,0.25,1.75,4.0,87.0,1.0,2.0,2.0,4.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Czechoslovakia,1954,2050.0,,0.05263157894736842,0.5,1.5,1.5,0.0,6.0,185.0,0.0,1.0,1.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
England,1954,2050.0,,0.05263157894736842,0.5,2.5,3.0,-0.5,6.0,24.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
France,1954,2050.0,,0.05263157894736842,0.5,3.375,2.125,1.25,8.0,17.0,0.0,0.0,0.0,3.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Germany,1954,2050.0,,0.05263157894736842,0.8,3.4,1.2,2.2,5.0,52.0,0.0,0.0,0.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,1
Hungary,1954,2050.0,,0.05263157894736842,0.7777777777777778,3.5555555555555554,1.3333333333333333,2.2222222222222223,9.0,24.0,0.0,0.0,0.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Italy,1954,2050.0,,0.05263157894736842,1.0,3.25,0.75,2.5,4.0,66.0,1.0,1.0,1.0,3.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Mexico,1954,2050.0,,0.05263157894736842,1.0,4.75,0.25,4.5,4.0,153.0,0.0,0.0,0.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Scotland,1954,1991.0,,0.05263157894736842,0.5,2.0,1.6666666666666667,0.3333333333333333,6.0,22.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
South Korea,1954,2050.0,,0.05263157894736842,0.3333333333333333,3.6666666666666665,2.5,1.1666666666666667,6.0,39.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Switzerland,1954,2050.0,,0.05263157894736842,0.2857142857142857,2.2857142857142856,3.142857142857143,-0.8571428571428571,7.0,17.0,0.0,0.0,0.0,3.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Turkey,1954,2050.0,,0.05263157894736842,0.3333333333333333,1.3333333333333333,2.0,-0.6666666666666666,3.0,91.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Uruguay,1954,2050.0,,0.05263157894736842,0.25,3.0,2.25,0.75,4.0,11.0,2.0,2.0,2.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Yugoslavia,1954,2050.0,,0.05263157894736842,0.8333333333333334,1.1666666666666667,0.5,0.6666666666666666,6.0,31.0,0.0,0.0,0.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Argentina,1958,2050.0,,0.05263157894736842,0.6,1.6,0.7,0.9,10.0,39.0,0.0,1.0,1.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Austria,1958,2050.0,,0.05263157894736842,0.5,2.5,1.5,1.0,6.0,25.0,0.0,0.0,0.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Brazil,1958,2050.0,,0.05263157894736842,0.6,2.1,0.7,1.4,10.0,21.0,1.0,2.0,2.0,5.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,1
Czechoslovakia,1958,2050.0,,0.05263157894736842,0.8,2.8,1.4,1.4,5.0,67.0,0.0,1.0,1.0,3.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
England,1958,2050.0,,0.05263157894736842,0.5714285714285714,2.4285714285714284,1.4285714285714286,1.0,7.0,21.0,0.0,0.0,0.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
France,1958,2050.0,,0.05263157894736842,0.14285714285714285,1.2857142857142858,1.5714285714285714,-0.2857142857142857,7.0,53.0,0.0,0.0,0.0,4.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Germany,1958,2050.0,,0.05263157894736842,0.8,1.6,0.6,1.0,5.0,67.0,1.0,1.0,1.0,3.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Hungary,1958,2050.0,,0.05263157894736842,0.5,1.8,0.8,1.0,10.0,32.0,0.0,1.0,1.0,3.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Mexico,1958,2050.0,,0.05263157894736842,0.75,2.0,0.25,1.75,4.0,224.0,0.0,0.0,0.0,3.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Northern Ireland,1958,1325.0,,0.05263157894736842,0.4,1.8,1.4,0.4,5.0,53.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Paraguay,1958,2050.0,,0.05263157894736842,0.4166666666666667,1.5833333333333333,1.5,0.08333333333333333,12.0,32.0,0.0,0.0,0.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Russia,1958,2050.0,,0.05263157894736842,0.75,3.125,0.625,2.5,8.0,21.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Scotland,1958,1991.0,,0.05263157894736842,0.3333333333333333,1.3333333333333333,1.6666666666666667,-0.3333333333333333,6.0,7.0,0.0,0.0,0.0,1.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Sweden,1958,2050.0,,0.05263157894736842,0.625,2.5,1.0,1.5,8.0,32.0,0.0,1.0,1.0,3.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Wales,1958,1439.0,,0.05263157894736842,0.5,1.6666666666666667,1.1666666666666667,0.5,6.0,53.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Yugoslavia,1958,2050.0,,0.05263157894736842,0.5,2.5,1.1666666666666667,1.3333333333333333,6.0,28.0,0.0,0.0,0.0,3.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Argentina,1962,2050.0,,0.05263157894736842,0.3333333333333333,1.5555555555555556,1.4444444444444444,0.1111111111111111,9.0,63.0,0.0,1.0,1.0,3.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Brazil,1962,2050.0,,0.05263157894736842,1.0,3.142857142857143,0.7142857142857143,2.4285714285714284,7.0,14.0,2.0,3.0,3.0,6.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,1
Bulgaria,1962,2050.0,,0.05263157894736842,0.6666666666666666,1.1666666666666667,1.1666666666666667,0.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Chile,1962,2050.0,,0.05263157894736842,0.25,1.75,1.25,0.5,4.0,168.0,0.0,0.0,0.0,2.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Colombia,1962,2050.0,,0.05263157894736842,0.0,0.6666666666666666,1.3333333333333333,-0.6666666666666666,3.0,35.0,0.0,0.0,0.0,0.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Czechoslovakia,1962,2050.0,,0.05263157894736842,0.5714285714285714,3.2857142857142856,2.0,1.2857142857142858,7.0,38.0,0.0,1.0,1.0,4.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
England,1962,2050.0,,0.05263157894736842,0.625,2.25,0.875,1.375,8.0,10.0,0.0,0.0,0.0,3.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Germany,1962,2050.0,,0.05263157894736842,1.0,3.0,0.5,2.5,4.0,49.0,1.0,1.0,1.0,4.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Hungary,1962,2050.0,,0.05263157894736842,0.2222222222222222,1.4444444444444444,1.8888888888888888,-0.4444444444444444,9.0,31.0,0.0,1.0,1.0,4.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Italy,1962,2050.0,,0.05263157894736842,1.0,3.8,1.0,2.8,5.0,17.0,1.0,1.0,1.0,4.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
Mexico,1962,2050.0,,0.05263157894736842,0.5714285714285714,1.0,0.5714285714285714,0.42857142857142855,7.0,8.0,0.0,0.0,0.0,4.0,0.0,49.36971726190475,81.19209130563257,25.03166971916972,32.17928776106672,,0.0,0.0,0.0,0.0,0.0,0.0,0
