,Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,78,,81,2025-04-11,IND,,ORL,L 115-129,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
,78,,82,2025-04-13,IND,@,CLE,W 126-118 (2OT),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,1,71,1,2025-04-19,IND,,MIL,W 117-98,1,32:55,10,15,0.667,3,5,0.600,7,10,0.700,0.767,2,2,1.000,0,7,7,2,1,1,1,4,25,21.1,28
,2,72,2,2025-04-22,IND,,MIL,W 123-115,1,34:23,8,16,0.500,2,5,0.400,6,11,0.545,0.563,6,6,1.000,2,9,11,3,3,0,2,4,24,21.6,8
,3,73,3,2025-04-25,IND,@,MIL,L 101-117,1,30:59,12,19,0.632,3,4,0.750,9,15,0.600,0.711,1,3,0.333,0,5,5,2,2,0,0,3,28,22.4,-9
,4,74,4,2025-04-27,IND,@,MIL,W 129-103,1,29:24,5,10,0.500,0,2,0.000,5,8,0.625,0.500,2,2,1.000,0,3,3,4,0,1,1,4,12,8.8,3
,5,75,5,2025-04-29,IND,,MIL,W 119-118 (OT),1,41:12,5,12,0.417,0,2,0.000,5,10,0.500,0.417,0,2,0.000,0,4,4,1,0,0,2,5,10,0.7,1
,6,76,6,2025-05-04,IND,@,CLE,W 121-112,1,33:40,6,15,0.400,2,5,0.400,4,10,0.400,0.467,3,3,1.000,1,7,8,4,1,0,2,1,17,13.1,16
,7,77,7,2025-05-06,IND,@,CLE,W 120-119,1,29:45,5,8,0.625,0,0,,5,8,0.625,0.625,2,5,0.400,0,6,6,4,0,0,2,4,12,8.2,1
,8,78,8,2025-05-09,IND,,CLE,L 104-126,1,27:36,8,14,0.571,1,4,0.250,7,10,0.700,0.607,1,3,0.333,2,2,4,3,0,0,1,2,18,12.9,-14
,9,79,9,2025-05-11,IND,,CLE,W 129-109,1,21:01,9,10,0.900,2,2,1.000,7,8,0.875,1.000,1,1,1.000,1,5,6,3,1,0,1,2,21,21.1,29
,10,80,10,2025-05-13,IND,@,CLE,W 114-105,1,39:39,8,20,0.400,2,5,0.400,6,15,0.400,0.450,3,5,0.600,0,8,8,5,1,1,0,4,21,15.4,10
,11,81,11,2025-05-21,IND,@,NYK,W 138-135 (OT),1,42:44,7,16,0.438,0,2,0.000,7,14,0.500,0.438,3,5,0.600,1,4,5,6,2,0,0,2,17,15.1,8
,12,82,12,2025-05-23,IND,@,NYK,W 114-109,1,32:51,15,23,0.652,3,5,0.600,12,18,0.667,0.717,6,8,0.750,0,5,5,3,1,0,1,4,39,30.1,16
,13,83,13,2025-05-25,IND,,NYK,L 100-106,1,34:59,7,14,0.500,0,1,0.000,7,13,0.538,0.500,3,5,0.600,1,3,4,2,0,0,0,2,17,11.4,-21
,14,84,14,2025-05-27,IND,,NYK,W 130-121,1,35:10,11,21,0.524,3,4,0.750,8,17,0.471,0.595,5,6,0.833,3,2,5,2,1,1,1,4,30,22.5,9
,15,85,15,2025-05-29,IND,@,NYK,L 94-111,1,34:23,5,13,0.385,1,3,0.333,4,10,0.400,0.423,4,8,0.500,1,5,6,5,3,0,2,2,15,12.2,-1
,16,86,16,2025-05-31,IND,,NYK,W 125-108,1,36:08,10,18,0.556,3,5,0.600,7,13,0.538,0.639,8,11,0.727,2,3,5,3,1,3,2,1,31,26.3,25
,17,87,17,2025-06-05,IND,@,OKC,W 111-110,1,34:59,7,15,0.467,1,2,0.500,6,13,0.462,0.500,4,6,0.667,4,6,10,3,0,1,1,1,19,16.5,-10
,18,88,18,2025-06-08,IND,@,OKC,L 107-123,1,29:34,3,11,0.273,1,4,0.250,2,7,0.286,0.318,8,9,0.889,4,3,7,4,0,2,2,4,15,12.4,-15
,19,89,19,2025-06-11,IND,,OKC,W 116-107,1,31:58,8,14,.571,0,2,.000,8,12,.667,.571,5,6,.833,0,6,6,4,2,1,0,3,21,20.1,8 
,20,90,20,2025-06-13,IND,,OKC,L 104-111,1,35:01,6,15,.400,2,6,.333,4,9,.444,.467,6,8,.750,0,8,8,5,5,1,1,3,20,20.5,7
, 21,91,21,2025-06-16,IND,@,OKC,L 109-120,1,33:16,9,15,.600,3,6,.500,6,9,.667,.700,7,8,.875,2,4,6,5,3,2,6,3,28,24.0,-5
