,Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,68,328,75,2025-03-31,IND,,SAC,W 111-109,1,33:25,7,13,0.538,2,4,0.500,5,9,0.556,0.615,2,2,1.000,1,1,2,11,0,0,5,1,18,15.0,-5
,69,329,76,2025-04-02,IND,,CHO,W 119-105,1,33:46,9,15,0.600,4,6,0.667,5,9,0.556,0.733,0,0,,0,1,1,10,2,2,0,0,22,25.8,14
,70,330,77,2025-04-04,IND,,UTA,W 140-112,1,27:51,7,13,0.538,2,6,0.333,5,7,0.714,0.615,1,2,0.500,2,4,6,11,0,3,0,1,17,22.3,5
,71,331,78,2025-04-06,IND,@,DEN,W 125-120,1,35:23,3,8,0.375,1,6,0.167,2,2,1.000,0.438,2,4,0.500,0,3,3,14,1,1,3,1,9,12.8,0
,72,332,79,2025-04-08,IND,,WAS,W 104-98,1,31:22,5,11,0.455,3,7,0.429,2,4,0.500,0.591,9,11,0.818,0,1,1,6,1,0,1,0,22,20.0,0
,73,333,80,2025-04-10,IND,,CLE,W 114-112,1,35:33,8,16,0.500,4,11,0.364,4,5,0.800,0.625,3,4,0.750,1,7,8,10,0,3,2,1,23,24.1,15
,73,,81,2025-04-11,IND,,ORL,L 115-129,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
,73,,82,2025-04-13,IND,@,CLE,W 126-118 (2OT),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,1,16,1,2025-04-19,IND,,MIL,W 117-98,1,34:20,3,13,0.231,0,7,0.000,3,6,0.500,0.231,4,6,0.667,0,7,7,12,0,0,1,2,10,10.0,27
,2,17,2,2025-04-22,IND,,MIL,W 123-115,1,35:01,8,19,0.421,3,10,0.300,5,9,0.556,0.500,2,2,1.000,1,4,5,12,0,0,3,1,21,17.8,2
,3,18,3,2025-04-25,IND,@,MIL,L 101-117,1,31:34,5,11,0.455,4,9,0.444,1,2,0.500,0.636,0,0,,1,6,7,10,0,1,1,2,14,16.7,-23
,4,19,4,2025-04-27,IND,@,MIL,W 129-103,1,33:33,6,11,0.545,2,5,0.400,4,6,0.667,0.636,3,4,0.750,0,8,8,15,1,0,5,0,17,20.2,25
,5,20,5,2025-04-29,IND,,MIL,W 119-118 (OT),1,42:04,10,22,0.455,2,10,0.200,8,12,0.667,0.500,4,4,1.000,0,5,5,9,3,3,1,3,26,25.3,-3
,6,21,6,2025-05-04,IND,@,CLE,W 121-112,1,36:11,9,15,0.600,2,6,0.333,7,9,0.778,0.667,2,2,1.000,0,3,3,13,1,3,1,1,22,26.8,11
,7,22,7,2025-05-06,IND,@,CLE,W 120-119,1,36:02,7,11,0.636,2,2,1.000,5,9,0.556,0.727,3,5,0.600,1,8,9,4,0,1,0,1,19,19.5,11
,8,23,8,2025-05-09,IND,,CLE,L 104-126,1,30:00,2,8,0.250,0,1,0.000,2,7,0.286,0.250,0,0,,0,0,0,5,1,0,3,2,4,-0.1,-20
,9,24,9,2025-05-11,IND,,CLE,W 129-109,1,26:21,3,8,0.375,1,5,0.200,2,3,0.667,0.438,4,5,0.800,0,5,5,5,0,0,2,1,11,8.8,27
,10,25,10,2025-05-13,IND,@,CLE,W 114-105,1,36:23,10,15,0.667,6,10,0.600,4,5,0.800,0.867,5,6,0.833,0,6,6,8,1,1,4,3,31,28.0,27
,11,26,11,2025-05-21,IND,@,NYK,W 138-135 (OT),1,42:27,12,23,0.522,4,12,0.333,8,11,0.727,0.609,3,4,0.750,0,4,4,11,1,0,2,3,31,26.0,15
,12,27,12,2025-05-23,IND,@,NYK,W 114-109,1,35:09,5,16,0.313,3,10,0.300,2,6,0.333,0.406,1,2,0.500,2,6,8,11,2,0,1,2,14,15.5,-2
,13,28,13,2025-05-25,IND,,NYK,L 100-106,1,37:10,7,15,0.467,2,8,0.250,5,7,0.714,0.533,4,4,1.000,0,4,4,7,3,0,3,2,20,17.6,-1
,14,29,14,2025-05-27,IND,,NYK,W 130-121,1,37:32,11,23,0.478,5,12,0.417,6,11,0.545,0.587,5,6,0.833,0,12,12,15,4,0,0,4,32,36.4,16
,15,30,15,2025-05-29,IND,@,NYK,L 94-111,1,31:34,2,7,0.286,0,2,0.000,2,5,0.400,0.286,4,5,0.800,0,2,2,6,2,1,0,1,8,10.6,-23
,16,31,16,2025-05-31,IND,,NYK,W 125-108,1,36:31,9,17,0.529,2,5,0.400,7,12,0.583,0.588,1,1,1.000,0,6,6,13,3,1,4,2,21,22.5,24
,17,32,17,2025-06-05,IND,@,OKC,W 111-110,1,38:55,6,13,0.462,2,7,0.286,4,6,0.667,0.538,0,0,,0,10,10,6,0,1,3,2,14,11.4,12
,18,33,18,2025-06-08,IND,@,OKC,L 107-123,1,34:15,7,13,0.538,3,8,0.375,4,5,0.800,0.654,0,0,,0,3,3,6,2,2,5,1,17,13.8,-5
,19,34,19,2025-06-11,IND,,OKC,W 116-107,1,36:20,9,17,.529,4,8,.500,5,9,.556,.647,0,0,,1,8,9,11,2,1,4,1,22,22.8,1 
, 20,35,20,2025-06-13,IND,,OKC,L 104-111,1,36:27,7,15,.467,1,7,.143,6,8,.750,.500,3,3,1.000,0,2,2,7,2,0,5,1,18,12.4,1
, 21,36,21,2025-06-16,IND,@,OKC,L 109-120,1,34:09,0,6,.000,0,4,.000,0,2,.000,.000,4,4,1.000,1,6,7,6,0,0,3,3,4,2.3,-13
