,Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,36,606,39,2025-01-10,IND,,GSW,W 108-96,1,29:19,3,9,0.333,1,4,0.250,2,5,0.400,0.389,4,6,0.667,0,8,8,2,1,3,1,2,11,10.2,21
,37,607,40,2025-01-12,IND,@,CLE,W 108-93,1,28:38,5,10,0.500,2,6,0.333,3,4,0.750,0.600,3,5,0.600,3,7,10,1,0,0,0,4,15,12.5,3
,38,608,41,2025-01-14,IND,,CLE,L 117-127,1,29:33,5,11,0.455,1,4,0.250,4,7,0.571,0.500,6,6,1.000,1,4,5,0,1,0,1,3,17,12.0,-20
,39,609,42,2025-01-16,IND,@,DET,W 111-100,1,36:41,9,16,0.563,8,11,0.727,1,5,0.200,0.813,2,2,1.000,0,3,3,1,2,2,1,4,28,22.8,16
,40,610,43,2025-01-18,IND,,PHI,W 115-102,1,27:33,7,15,0.467,2,5,0.400,5,10,0.500,0.533,2,2,1.000,2,9,11,2,0,1,2,5,18,12.5,10
,41,611,44,2025-01-23,IND,,SAS,L 110-140,1,25:51,5,17,0.294,2,9,0.222,3,8,0.375,0.353,2,3,0.667,0,3,3,0,1,0,0,2,14,4.8,-9
,42,612,45,2025-01-25,IND,@,SAS,W 136-98,1,34:57,4,12,0.333,2,7,0.286,2,5,0.400,0.417,4,4,1.000,1,1,2,2,1,3,1,2,14,10.9,12
,43,613,46,2025-01-29,IND,,DET,W 133-119,1,29:27,5,10,0.500,4,6,0.667,1,4,0.250,0.700,10,12,0.833,1,6,7,3,1,0,3,3,24,19.6,9
,44,614,47,2025-02-01,IND,,ATL,W 132-127,1,34:11,6,12,0.500,2,5,0.400,4,7,0.571,0.583,1,1,1.000,0,6,6,3,1,0,2,3,15,10.7,3
,44,,48,2025-02-03,IND,@,UTA,W 112-111,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
,45,615,49,2025-02-04,IND,@,POR,L 89-112,1,29:45,3,8,0.375,2,4,0.500,1,4,0.250,0.500,1,2,0.500,2,0,2,1,0,0,3,4,9,1.7,-15
,46,616,50,2025-02-06,IND,@,LAC,W 119-112,1,05:47,0,4,0.000,0,2,0.000,0,2,0.000,0.000,0,0,,0,0,0,0,1,0,0,0,0,-1.8,-8
